minHBint4,AATS8m,minssNH,ATSC3e,maxssNH,SHaaCH,nHaaCH,SaaCH,EE_Dt,SwHBa,C2SP2,CrippenLogP,SHother,AATSC5m,maxHBint5,ATSC5m,nHother,nwHBa,khs.aaCH,naaCH
0.0,56.6935,3.0346,-0.2691,3.0346,6.218,11.0,18.6205,589.6084,22.6928,13.0,7.8812,6.218,-2.8237,0.8057,-488.5075,11.0,22.0,11.0,11.0
0.0,126.475,0.0,-0.1327,0.0,5.6696,10.0,17.1449,709.7827,22.4809,20.0,5.9595,5.6696,0.6606,0.0,71.3475,10.0,28.0,10.0,10.0
0.0,53.6407,0.0,-0.9466,0.0,6.2508,13.0,25.8519,498.0705,33.5501,15.0,5.4465,6.2508,-2.0206,0.0,-480.9108,13.0,24.0,13.0,13.0
0.0,49.914,0.0,0.4712,0.0,7.2138,16.0,33.4979,709.7827,42.6393,18.0,5.1305,7.2138,2.042,3.2965,520.7024,16.0,26.0,16.0,16.0
0.0,81.2316,0.0,-0.2945,0.0,8.1653,15.0,24.6433,606.5994,26.4195,19.0,5.3876,8.1653,-2.4114,0.0,-421.9867,15.0,26.0,15.0,15.0
0.0,73.5448,0.0,-2.3002,0.0,7.4732,12.0,19.3576,490.6742,20.7701,16.0,5.8738,7.4732,-3.0393,0.0,-358.6325,12.0,26.0,12.0,12.0
0.0,63.449,0.0,0.173,0.0,9.1686,17.0,33.3246,703.0913,42.6228,19.0,8.8798,9.1686,2.3972,0.0,385.9466,17.0,30.0,17.0,17.0
0.4351,71.6049,2.8933,-0.6816,2.8933,8.3557,16.0,29.0663,709.7827,35.1029,21.0,5.6971,8.3557,-0.6377,3.8486,-124.3604,16.0,29.0,16.0,16.0
0.0,55.0119,2.9523,0.7206,2.9523,7.7526,15.0,28.5811,651.6972,36.475,17.0,4.5657,7.7526,1.0321,4.9032,190.9334,15.0,29.0,15.0,15.0
0.0,61.2959,0.0,-0.4567,0.0,7.3652,13.0,23.2219,709.7827,29.9152,18.0,7.0003,7.3652,-1.4675,0.0,-268.5548,13.0,25.0,13.0,13.0
-0.8879,69.2405,0.0,-0.5351,0.0,6.1709,12.0,23.0446,479.7394,31.9791,17.0,6.1398,6.7759,-3.3278,0.0,-452.5776,13.0,26.0,12.0,12.0
0.0,65.268,0.0,-0.539,0.0,9.711,18.0,34.2541,709.7827,43.5049,23.0,8.1281,9.711,-2.7264,0.0,-471.6733,18.0,31.0,18.0,18.0
0.349,67.7567,0.0,-1.2498,0.0,7.3985,14.0,25.5845,470.0171,27.7843,16.0,4.5111,7.3985,-0.5159,4.3397,-78.4207,14.0,24.0,14.0,14.0
0.0,68.3349,2.8748,-0.4808,2.8748,9.0201,16.0,28.379,546.7989,36.132,21.0,6.0096,10.2077,-1.2008,0.0,-151.301,18.0,31.0,16.0,16.0
0.0,55.4591,2.7934,-0.4871,2.8854,5.4607,11.0,21.0294,488.4678,23.8951,13.0,3.8359,5.4607,-0.3602,5.0252,-68.0871,11.0,20.0,11.0,11.0
0.0,59.82,0.0,0.5956,0.0,10.0812,20.0,41.0578,394.685,49.5841,22.0,7.7963,10.0812,0.5947,0.0,70.1691,20.0,29.0,20.0,20.0
0.4692,93.3401,2.7948,1.5573,2.7948,9.1669,16.0,28.1959,656.1874,29.1869,20.0,6.56,9.1669,1.0722,6.4621,144.748,16.0,30.0,16.0,16.0
0.0,230.9934,0.0,-0.5608,0.0,2.6854,4.0,4.582,119.334,4.9914,5.0,3.0167,2.6854,-7.6018,0.0,-342.0825,4.0,9.0,4.0,4.0
0.0,58.8652,0.0,0.1981,0.0,7.8619,17.0,34.7645,563.0044,44.5416,22.0,5.6051,8.3459,-0.6382,0.0,-125.0883,18.0,26.0,17.0,17.0
0.0,75.5901,0.0,0.0682,0.0,9.5558,19.0,37.66,532.9316,44.8426,21.0,7.1539,9.5558,-3.6567,0.0,-552.1599,19.0,30.0,19.0,19.0
0.0,58.0697,0.0,0.3272,0.0,9.8222,19.0,37.6717,552.9903,49.5128,24.0,6.6447,10.8174,-3.4374,0.0,-529.3589,21.0,31.0,19.0,19.0
3.7806,84.1509,2.2603,-1.4391,2.733,7.2217,11.0,17.9683,666.9715,23.691,14.0,3.2616,8.8039,-0.0638,0.0,-7.3404,13.0,28.0,11.0,11.0
0.0,79.9225,0.0,-0.2403,0.0,11.2882,20.0,34.8128,709.7827,38.0957,23.0,7.8478,11.2882,-1.9598,0.0,-301.8128,20.0,37.0,20.0,20.0
0.0,64.9507,0.0,0.7763,0.0,7.4356,14.0,26.8873,674.2551,36.2286,19.0,6.5587,7.4356,4.2693,0.0,614.7828,14.0,28.0,14.0,14.0
0.0,65.4554,0.0,-0.8091,0.0,5.3753,10.0,19.138,505.9351,27.9622,16.0,4.2267,6.7115,5.4335,0.0,738.956,12.0,24.0,10.0,10.0
6.0087,72.4984,2.7191,-0.4871,2.7191,10.6049,18.0,28.3266,709.7827,28.1107,24.0,6.9106,10.6049,-4.786,5.8956,-751.4012,18.0,36.0,18.0,18.0
2.6048,80.1593,3.0446,-0.7178,3.0446,7.2119,14.0,27.4265,562.558,38.5073,18.0,7.8132,7.8328,8.0437,0.0,1142.202,15.0,29.0,14.0,14.0
1.2795,64.3707,2.941,-1.6115,2.941,10.427,19.0,35.1891,709.7827,41.0562,23.0,8.7458,10.427,-2.0582,2.6218,-333.4326,19.0,31.0,19.0,19.0
0.0,45.304,0.0,-0.4895,0.0,5.8982,12.0,24.2746,570.1962,32.7971,14.0,6.6431,5.8982,-2.4256,0.0,-458.4415,12.0,22.0,12.0,12.0
0.0,52.9031,0.0,0.1266,0.0,5.1541,10.0,17.5444,580.6612,20.4933,11.0,4.4733,5.1541,-4.4274,0.0,-916.4682,10.0,19.0,10.0,10.0
0.0,52.1544,0.0,-0.7547,0.0,8.3062,16.0,30.2893,612.1996,38.476,19.0,6.9169,8.3062,-3.1299,0.0,-585.283,16.0,28.0,16.0,16.0
0.0,63.3404,0.0,-0.7435,0.0,6.4619,11.0,19.0612,709.7827,31.9379,18.0,7.263,7.9046,-4.7664,0.0,-815.0494,13.0,32.0,11.0,11.0
0.0,55.9288,2.707,-0.704,2.9312,4.3322,8.0,14.4205,455.7853,20.5886,13.0,4.7056,5.1568,-7.5558,0.54,-1201.3725,10.0,18.0,8.0,8.0
1.6598,59.5393,3.3544,-0.434,3.391,6.8805,12.0,19.8026,709.7827,24.4031,20.0,7.8791,6.8805,3.7358,4.7696,788.258,12.0,26.0,12.0,12.0
0.0,69.0328,0.0,-0.1748,0.0,7.9928,16.0,32.9609,709.7827,44.1559,22.0,8.5874,7.9928,-1.3349,0.0,-260.2998,16.0,30.0,16.0,16.0
3.3638,66.9418,0.0,-1.768,0.0,2.6552,4.0,4.862,709.7827,4.7326,12.0,5.9975,2.6552,-6.0385,3.421,-1159.3869,4.0,28.0,4.0,4.0
3.1292,51.6658,3.2553,-0.5155,3.2553,1.9269,3.0,4.2206,339.6493,7.8523,9.0,4.8425,1.9269,-6.2737,1.4544,-972.4159,3.0,12.0,3.0,3.0
0.0,57.0998,0.0,-0.4144,0.0,6.2807,13.0,26.7212,556.1438,35.8149,16.0,5.7691,6.2807,-3.7531,0.0,-904.4901,13.0,24.0,13.0,13.0
0.0,68.7348,0.0,-0.5519,0.0,4.949,10.0,19.8488,478.2387,27.2897,16.0,6.331,4.949,-2.2805,0.0,-362.6052,10.0,22.0,10.0,10.0
0.0,59.8888,0.0,0.3749,0.0,6.1982,12.0,21.7605,648.8078,28.3173,16.0,5.2395,6.6487,1.5906,0.0,324.4869,13.0,24.0,12.0,12.0
0.0,92.9158,0.0,-0.5069,0.0,0.0,0.0,0.0,709.7827,0.0,20.0,0.0,0.0,-2.6427,0.0,-470.403,0.0,0.0,0.0,0.0
0.8465,52.0491,3.0987,1.1714,3.0987,3.2565,6.0,11.0831,442.7348,17.5086,8.0,4.9926,3.7763,-0.2114,0.741,-44.1729,7.0,15.0,6.0,6.0
0.0,71.9938,0.0,-0.0549,0.0,11.2879,20.0,34.6283,709.7827,37.5185,23.0,7.8478,11.2879,-2.523,0.0,-408.73,20.0,37.0,20.0,20.0
0.0,54.2259,0.0,-0.6508,0.0,7.4909,14.0,28.3025,615.4196,38.0484,18.0,6.5806,7.4909,-6.6497,0.0,-864.4577,14.0,24.0,14.0,14.0
0.0,61.2548,0.0,1.2394,0.0,4.8699,10.0,19.7479,539.0889,28.7389,13.0,5.9821,4.8699,1.4078,0.0,280.15,10.0,21.0,10.0,10.0
0.0,66.3071,0.0,-0.9827,0.0,9.497,17.0,31.8867,709.7827,41.6517,23.0,8.0756,9.497,-1.4361,0.0,-269.9815,17.0,31.0,17.0,17.0
0.0,68.1623,2.6663,0.961,2.6663,7.346,15.0,31.0815,603.2457,45.3099,17.0,6.2366,8.0025,-1.8128,0.0,-262.855,16.0,29.0,15.0,15.0
-1.0388,72.1759,0.0,0.2993,0.0,8.6703,18.0,36.8003,709.7827,54.6814,20.0,8.2998,9.1932,2.0204,0.0,396.0044,19.0,34.0,18.0,18.0
4.5071,70.8066,2.6918,-1.6017,3.2645,6.6412,12.0,22.1787,450.4271,28.348,16.0,4.5684,6.6412,-2.6712,1.2328,-387.3208,12.0,23.0,12.0,12.0
0.0,47.7183,0.0,-1.1478,0.0,6.7726,14.0,27.5739,513.9022,35.3136,16.0,6.8755,6.7726,-3.1787,0.0,-804.2106,14.0,24.0,14.0,14.0
0.0,98.7242,0.0,-0.3047,0.0,6.8031,13.0,25.6436,608.4065,37.9478,17.0,6.9254,7.9982,3.8867,0.0,450.8606,15.0,29.0,13.0,13.0
0.0,56.4329,3.1837,-0.0136,3.1837,8.2152,16.0,33.0511,471.9367,44.185,20.0,6.1454,8.2152,1.5159,0.0,203.1314,16.0,27.0,16.0,16.0
0.0,68.5017,0.0,-1.2274,0.0,7.3586,12.0,17.119,648.8078,19.0626,18.0,5.1228,7.8657,-0.7498,0.0,-139.462,13.0,24.0,12.0,12.0
0.0,61.8523,3.6968,-0.5041,3.7277,3.1693,6.0,12.458,429.922,25.6586,12.0,3.8328,3.6187,2.509,1.2677,363.8022,7.0,17.0,6.0,6.0
6.1067,77.9127,0.0,-1.0908,0.0,4.7347,7.0,8.0075,487.5745,4.5089,10.0,3.2337,4.7347,0.8815,0.0,161.3187,7.0,15.0,7.0,7.0
0.3447,51.2041,2.1192,-1.2352,2.9301,1.6134,3.0,5.4018,501.9389,9.3019,6.0,0.6609,3.3768,-6.778,0.8243,-1308.1451,6.0,16.0,3.0,3.0
0.4421,62.2879,2.9542,0.2543,2.9542,7.9085,16.0,30.8759,709.7827,38.479,19.0,4.9175,7.9085,4.1254,3.8427,837.4589,16.0,29.0,16.0,16.0
6.3452,88.2524,0.0,-0.5335,0.0,8.5167,15.0,26.5976,709.7827,32.1308,17.0,4.9857,8.5167,-5.0631,0.0,-769.5951,15.0,29.0,15.0,15.0
0.0,49.2603,3.1632,-0.3497,3.1632,8.2884,17.0,34.5384,653.5338,43.8159,20.0,8.2185,8.2884,-0.1316,0.8362,-27.2359,17.0,28.0,17.0,17.0
0.0,55.6592,0.0,-1.1992,0.0,6.8511,12.0,20.1281,585.1531,26.5363,16.0,5.828,6.8511,-0.6781,0.0,-132.2263,12.0,24.0,12.0,12.0
0.0,94.82,0.0,-1.0079,0.0,8.4291,16.0,31.922,605.9129,42.48,21.0,8.053,9.011,2.5288,0.0,343.9134,17.0,29.0,16.0,16.0
0.0,10.8418,0.0,0.5133,0.0,3.0908,6.0,12.084,211.4626,17.5937,8.0,3.2504,3.0908,-6.5412,0.0,-281.2721,6.0,13.0,6.0,6.0
-0.6114,75.4071,2.9987,-0.1814,2.9987,4.8115,9.0,16.6362,560.931,24.4279,14.0,4.4426,4.8115,2.0018,0.6415,334.3018,9.0,23.0,9.0,9.0
-0.7216,78.2942,0.0,0.3704,0.0,7.6534,16.0,33.4482,612.3452,46.3236,18.0,6.6451,8.2552,-1.6941,0.0,-240.5675,17.0,30.0,16.0,16.0
0.0,73.3835,0.0,-0.8765,0.0,9.9259,17.0,29.6111,709.7827,37.3067,23.0,7.8953,9.9259,-3.3124,0.0,-592.9281,17.0,31.0,17.0,17.0
0.0,66.8006,0.0,-0.539,0.0,9.7331,18.0,34.1434,709.7827,43.1107,23.0,8.1281,9.7331,-2.6833,0.0,-464.2131,18.0,31.0,18.0,18.0
0.0,63.5604,0.0,0.2811,0.0,8.685,16.0,28.8701,559.118,33.2078,20.0,5.9112,8.685,0.6238,0.0,114.7726,16.0,27.0,16.0,16.0
0.0,65.1481,3.0722,-0.0524,3.0722,6.9355,14.0,27.6183,570.979,39.6395,16.0,7.8634,6.9355,-0.6527,0.0,-101.1679,14.0,28.0,14.0,14.0
2.7206,49.1903,3.6765,0.2075,3.6765,4.9811,10.0,20.109,709.7827,27.7482,14.0,7.7044,4.9811,-7.1881,1.2209,-1495.1283,10.0,24.0,10.0,10.0
0.0,62.0493,3.059,-0.0673,3.059,6.7857,13.0,24.8072,449.423,35.0332,16.0,5.9272,7.3617,-1.5407,0.0,-189.5077,14.0,26.0,13.0,13.0
0.0,61.8417,0.0,0.2826,0.0,6.7861,14.0,27.7809,522.2542,39.9847,16.0,6.6206,6.7861,-3.1496,0.0,-462.9971,14.0,28.0,14.0,14.0
0.0,62.8388,0.0,-0.6933,0.0,9.0977,17.0,33.3257,709.7827,45.1353,22.0,8.1209,9.8185,-0.6161,0.0,-115.8251,18.0,32.0,17.0,17.0
4.7859,71.8876,3.121,-0.392,3.121,6.8892,12.0,19.3574,607.2036,20.4745,20.0,5.8538,6.8892,-4.8257,6.7637,-665.9427,12.0,28.0,12.0,12.0
0.0,69.2844,2.7586,0.4821,3.159,10.2237,20.0,40.0211,660.4769,51.3824,23.0,6.5549,10.2237,-4.7698,5.8916,-634.3788,20.0,33.0,20.0,20.0
2.6142,88.923,0.0,-0.2966,0.0,6.5696,12.0,22.5878,465.6785,28.8384,15.0,4.0987,7.2388,3.3627,0.0,329.5432,13.0,22.0,12.0,12.0
4.4906,75.5153,0.0,-0.1044,0.0,5.7096,10.0,16.4598,395.0823,20.1864,16.0,6.6912,5.7096,-6.7766,0.0,-982.6006,10.0,23.0,10.0,10.0
0.0,36.2848,0.0,-0.4391,0.0,7.5808,16.0,34.5777,709.7827,46.9729,18.0,7.493,7.5808,3.2877,0.0,821.9259,16.0,26.0,16.0,16.0
0.0,54.8203,0.0,-0.7132,0.0,6.3105,13.0,26.7623,587.4154,36.0974,16.0,6.3124,6.3105,-2.8817,0.0,-711.7772,13.0,24.0,13.0,13.0
0.0,74.7403,0.0,-0.0996,0.0,8.8424,16.0,28.5882,558.0631,31.2404,18.0,6.6168,8.8424,-0.0587,0.0,-7.6882,16.0,30.0,16.0,16.0
0.4261,74.1469,2.9321,-0.7145,2.9321,8.5383,16.0,28.5834,709.7827,33.9572,21.0,5.7875,8.5383,1.9473,4.1559,360.2445,16.0,29.0,16.0,16.0
0.0,63.8126,2.961,-0.475,2.961,9.3808,19.0,36.9491,709.7827,44.4358,21.0,7.8164,9.3808,0.816,0.5365,150.1354,19.0,31.0,19.0,19.0
0.0,52.8783,0.0,-0.0882,0.0,5.9163,11.0,20.23,549.6578,27.0484,13.0,7.131,5.9163,0.787,0.0,142.4397,11.0,22.0,11.0,11.0
0.0,41.8262,0.0,-0.5887,0.0,4.1073,9.0,19.2391,463.0905,29.5457,13.0,6.2037,4.1073,-5.1281,0.0,-928.1821,9.0,19.0,9.0,9.0
0.0,79.6388,2.7313,-0.6726,2.7313,10.6714,18.0,28.3234,709.7827,29.4173,24.0,6.9106,10.6714,-4.4523,5.9451,-663.392,18.0,36.0,18.0,18.0
0.0,9.1588,0.0,0.1739,0.0,3.0331,6.0,12.3149,211.4626,18.7616,8.0,3.8647,3.0331,-7.8799,0.0,-354.5965,6.0,13.0,6.0,6.0
0.0,70.574,0.0,-0.1533,0.0,6.8318,14.0,26.9977,525.4667,34.7421,17.0,4.5066,6.8318,-1.9996,0.0,-289.94,14.0,23.0,14.0,14.0
0.0,43.5878,2.9474,1.0227,3.8442,6.0294,13.0,26.2907,558.2802,31.9354,17.0,6.5503,6.0294,-0.2014,0.0,-44.3015,13.0,22.0,13.0,13.0
6.007,66.4226,2.726,-0.4871,2.726,10.6089,18.0,28.3371,709.7827,28.6615,24.0,6.9106,10.6089,-5.6952,5.8986,-894.1514,18.0,36.0,18.0,18.0
2.6637,61.1448,2.9762,-0.5509,2.9762,8.589,16.0,30.8094,512.5189,40.4891,22.0,7.1902,9.1988,0.6291,0.0,74.8645,17.0,29.0,16.0,16.0
0.0,79.4033,0.0,-0.8107,0.0,6.6776,11.0,16.3009,587.3673,14.0094,14.0,4.8562,6.6776,9.9884,0.0,1877.8243,11.0,30.0,11.0,11.0
0.0,77.9062,0.0,-0.823,0.0,7.5491,14.0,28.3339,709.7827,40.1972,22.0,8.4348,7.5491,-1.074,0.0,-207.282,14.0,30.0,14.0,14.0
4.8597,70.6692,3.3745,-1.2778,3.3745,7.7653,15.0,29.5586,641.3125,39.1107,22.0,8.9208,8.4522,-5.3328,0.0,-970.5667,16.0,31.0,15.0,15.0
4.1968,81.2386,0.0,0.1852,0.0,5.1185,10.0,19.0395,395.0823,26.0185,16.0,7.2055,5.1185,-8.3102,0.0,-1204.9781,10.0,23.0,10.0,10.0
0.0,68.1651,0.0,0.1248,0.0,7.9492,16.0,33.0704,709.7827,44.4474,22.0,8.9775,7.9492,-1.8869,0.0,-384.9289,16.0,30.0,16.0,16.0
0.0,64.4241,2.9777,0.2034,2.9777,8.6685,16.0,31.0987,709.7827,42.2518,22.0,8.3086,8.6685,-3.8221,0.9637,-668.8608,16.0,31.0,16.0,16.0
0.0,57.1936,0.0,-0.2397,0.0,5.8576,12.0,23.7008,462.6545,30.5607,14.0,3.9138,5.8576,-4.8711,0.0,-735.5297,12.0,21.0,12.0,12.0
0.3635,70.4499,3.3455,-0.469,3.3455,8.1846,15.0,26.8268,688.4739,31.194,19.0,7.3958,8.1846,-1.3309,4.395,-239.561,15.0,32.0,15.0,15.0
4.4957,79.4354,3.356,-1.0355,3.4039,5.8037,12.0,25.1664,522.6218,35.8732,18.0,6.6044,5.8037,-4.4588,0.0,-619.7772,12.0,24.0,12.0,12.0
0.0,69.9027,3.418,1.4849,3.418,5.5915,11.0,20.7706,450.8236,27.7119,14.0,7.0124,5.5915,8.4034,0.0,1319.3311,11.0,21.0,11.0,11.0
0.4387,71.601,2.7963,-0.9802,2.7963,9.1601,16.0,25.8696,709.7827,28.8102,21.0,4.8008,9.1601,1.7392,4.2289,321.755,16.0,29.0,16.0,16.0
0.0,70.7767,2.6635,-0.3908,2.7403,6.2649,11.0,19.5176,529.2715,23.6072,16.0,5.4711,6.2649,4.3774,6.4429,625.9743,11.0,23.0,11.0,11.0
0.0,68.1523,0.0,0.5253,0.0,8.7015,16.0,30.2401,670.8307,35.6674,21.0,5.7793,8.7015,4.0093,0.0,601.4014,16.0,29.0,16.0,16.0
0.0,51.7753,3.0966,-0.3587,3.0966,9.8529,20.0,40.0424,460.0529,48.7044,23.0,7.9427,9.8529,-0.2813,0.0,-39.3818,20.0,30.0,20.0,20.0
1.7019,10.4207,0.0,0.1789,0.0,0.8693,2.0,4.3372,227.5548,13.7682,6.0,2.3442,0.8693,-7.9754,0.0,-614.1096,2.0,10.0,2.0,2.0
0.0,38.2577,0.0,-0.2629,0.0,5.4976,14.0,33.0676,709.7827,50.8971,14.0,8.0944,5.4976,1.4859,0.0,408.6149,14.0,26.0,14.0,14.0
0.0,81.1646,0.0,-0.2649,0.0,7.9827,14.0,24.8511,442.0719,27.9696,16.0,5.2823,7.9827,-3.1183,0.0,-305.5902,14.0,26.0,14.0,14.0
0.0,55.3173,0.0,-0.7203,0.0,6.7337,14.0,28.1329,501.6018,38.5805,15.0,5.2173,6.7337,-3.0621,0.0,-710.4024,14.0,25.0,14.0,14.0
0.0,94.0757,2.5329,1.3714,2.5329,10.4899,18.0,31.1357,593.8166,30.3438,20.0,5.75,10.4899,-0.3849,1.0117,-56.9636,18.0,31.0,18.0,18.0
0.0,73.3757,0.0,0.114,0.0,7.3914,14.0,27.4134,709.7827,38.166,17.0,6.6934,7.3914,-4.2338,0.0,-546.1569,14.0,29.0,14.0,14.0
0.0,69.5675,2.8368,-0.7539,2.8368,8.2241,15.0,26.1404,700.4101,32.8524,21.0,6.341,9.2052,-1.0044,5.7122,-180.7936,17.0,27.0,15.0,15.0
