MDEC-23,ATSC8i,AATSC3v,SpDiam_Dt,ATS1m,ATSC5s,SHaaCH,SwHBa,ATSC5v,ATSC5m,SpMAD_Dt,LipoaffinityIndex
36.3919,-10.6225,-4.0362,615.8727,7296.8518,-18.3495,10.3654,40.8356,308.5125,-264.0724,24.6178,11.5606
43.0391,33.2093,-4.3467,698.9181,7555.8321,18.3634,5.3259,37.3275,-3716.1261,-1798.8207,25.2958,14.8371
41.2295,23.944,-2.6254,823.0523,6808.0812,22.1141,7.3518,41.4898,-357.5962,-76.2275,33.1775,10.5626
36.6323,-10.2048,-1.3929,721.6763,6702.2005,41.085,9.0467,26.0372,442.9246,67.424,27.5862,9.1357
39.8284,-26.3567,-1.0501,848.8694,7224.5084,-67.535,9.2747,25.6861,95.5263,-812.8917,30.9212,8.2767
30.4957,54.9085,-2.8973,694.2437,6742.6068,-6.1637,6.1855,24.0148,314.0286,198.4055,27.9249,10.6661
57.6723,13.4186,-0.862,1172.155,8180.4334,-6.4022,8.3931,46.8526,239.9101,590.5407,40.5882,12.233
37.5447,-6.1637,-0.8468,694.9297,8629.897,-50.0582,8.5003,40.2089,-305.791,-593.5612,24.6098,13.7777
46.6635,-30.01,-1.4676,1072.9829,7313.8546,10.0881,9.8412,50.0579,24.1324,482.1518,41.7293,14.64
24.1006,16.5774,-3.651,659.6924,6711.4688,4.7531,4.9905,17.7619,-460.6222,-224.6956,25.1615,7.6608
44.2499,-16.1949,-6.0171,899.5148,8140.108,-0.0965,5.6808,32.959,729.211,583.2665,29.4056,11.7604
33.3718,38.3847,2.7586,838.0247,7704.125,-41.1431,6.218,22.6928,-58.7389,-488.5075,28.7614,13.6386
34.563,16.174,1.1353,983.3964,7030.7109,3.2016,5.6696,22.4809,177.9027,71.3475,51.7829,6.9382
43.1223,13.3747,-2.8653,666.2378,7434.9582,14.2297,6.2508,33.5501,-1133.4349,-480.9108,24.9035,13.8936
52.8794,-18.3682,-2.166,1070.9869,7842.1081,21.9111,7.2138,42.6393,334.309,520.7024,37.6032,14.6016
42.4795,-45.4145,-3.0886,820.938,8024.3341,0.3436,8.1653,26.4195,337.6202,-421.9867,32.1875,10.7393
32.2745,-27.968,-0.6896,681.7775,6804.1594,-32.2002,7.4732,20.7701,125.3319,-358.6325,26.5229,8.262
42.2191,16.4674,-1.707,904.377,7538.0925,4.5486,9.1686,42.6228,400.281,385.9466,35.231,12.9269
49.4774,2.5447,-2.0772,1085.886,8136.6408,-22.6753,8.3557,35.1029,-6.8046,-124.3604,35.6999,12.6652
41.2676,-4.8958,-4.1439,946.7066,7572.8863,22.54,7.7526,36.475,718.7249,190.9334,31.0332,12.392
38.5495,3.4816,3.8881,987.2586,7333.8013,-2.5441,7.3652,29.9152,-608.9633,-268.5548,36.6042,12.2666
30.0382,-3.5936,-0.4834,672.1845,7040.1229,1.1173,6.1709,31.9791,-771.3482,-452.5776,26.6522,11.3466
51.6137,4.4669,1.35,1028.4035,7654.1918,-18.1686,9.711,43.5049,-153.0687,-471.6733,36.8872,12.5432
35.6989,-40.5049,-0.8061,655.0922,6636.3227,-7.6069,7.3985,27.7843,-343.128,-78.4207,26.1121,7.986
42.695,-14.6784,-3.461,792.1678,6674.3867,-35.738,9.0201,36.132,463.8898,-151.301,29.5567,10.4911
28.7875,-10.3916,-2.0475,690.3594,6893.2693,16.5966,5.4607,23.8951,-51.7024,-68.0871,26.4037,8.9012
35.8397,-5.477,-1.279,519.6436,5943.928,-0.0564,10.0812,49.5841,320.4465,70.1691,23.9203,14.0592
35.7706,-13.0592,-1.4223,906.0647,7385.3359,53.1079,9.1669,29.1869,53.9404,144.748,32.8506,10.0165
9.8829,6.5433,-8.1346,155.0004,2900.9915,-49.744,2.6854,4.9914,-352.9049,-342.0825,14.9167,6.3068
38.6603,-25.1428,-2.9141,811.6152,7660.3876,-1.5996,7.8619,44.5416,618.2893,-125.0883,28.1502,15.1509
42.0664,-15.1494,-0.8964,769.0635,7579.3818,-20.2596,9.5558,44.8426,441.4013,-552.1599,27.3298,11.6382
40.6558,0.4626,0.3983,754.842,6777.0914,-8.846,9.8222,49.5128,-368.3007,-529.3589,29.9506,14.3159
30.2222,-24.4792,-4.3497,998.1833,7927.1354,-33.5622,7.2217,23.691,417.9776,-7.3404,31.7605,7.3359
54.8677,0.1444,-2.3567,987.4551,7982.955,-73.775,11.2882,38.0957,361.6291,-301.8128,32.5289,12.3866
40.4145,-0.0739,-3.5168,911.9073,6468.6802,33.4148,7.4356,36.2286,956.0983,614.7828,38.274,12.6898
36.4379,27.8099,-5.8088,692.0931,6167.1921,1.8966,5.3753,27.9622,611.0813,738.956,30.7286,9.1305
52.3812,-8.0251,-0.1275,1197.1744,7842.6668,-45.6338,10.6049,28.1107,-334.719,-751.4012,38.0795,9.2983
36.4437,-2.0421,-6.5255,817.4278,7304.9124,9.2861,7.2119,38.5073,1602.0742,1142.202,29.6083,11.18
45.9384,-9.6413,-0.0255,1020.8198,7349.8795,4.3753,10.427,41.0562,-377.4712,-333.4326,36.1235,11.3746
38.5752,-41.5323,0.9024,791.3237,7530.8693,-19.8092,5.8982,32.7971,133.0963,-458.4415,28.5098,13.3385
34.789,-55.9597,1.9658,831.4188,8509.8471,-69.9029,5.1541,20.4933,171.2066,-916.4682,29.0331,10.1239
42.5724,-7.0309,-0.3347,848.1364,7771.2023,-22.5755,8.3062,38.476,-51.5592,-585.283,29.1524,15.3195
40.5929,5.009,-1.1279,1193.2688,8163.1687,-57.0542,6.4619,31.9379,603.4469,-815.0494,36.9193,10.0843
24.5944,-14.5015,-5.3466,663.9995,6248.323,-12.3823,4.3322,20.5886,-778.1492,-1201.3725,26.8109,9.1274
41.1121,59.1331,0.2613,1265.6056,8251.4517,33.0692,6.8805,24.4031,750.8796,788.258,41.6354,13.9686
46.3298,-7.577,5.4676,1139.6188,7815.4496,-10.2401,7.9928,44.1559,-235.8114,-260.2998,39.7337,15.6932
23.4488,-56.5745,2.1092,1001.7771,7092.9172,-98.0082,2.6552,4.7326,-1083.1676,-1159.3869,49.5278,3.7859
23.6094,-12.3549,3.6225,503.1782,5630.9037,-66.1042,1.9269,7.8523,-1094.1767,-972.4159,21.9129,9.858
44.5792,5.5212,-1.7432,746.7476,7819.0532,21.5188,6.2807,35.8149,-1599.6387,-904.4901,27.129,11.9167
30.9405,-10.3882,-2.2457,648.7666,6533.5036,-13.5451,4.949,27.2897,-521.0014,-362.6052,28.1496,10.1637
44.0116,0.4699,-4.8556,902.1209,8187.7125,-14.9366,6.1982,28.3173,517.0411,324.4869,29.4913,11.6146
60.1757,-13.8718,3.5086,1814.8151,8823.8932,-36.3333,0.0,0.0,-594.7517,-470.403,74.8699,0.0
33.4578,-29.4792,1.21,563.3027,7216.0118,-20.4349,3.2565,17.5086,381.6121,-44.1729,23.3018,9.6687
56.0611,-10.8132,-0.4286,997.6757,7982.955,-58.8366,11.2879,37.5185,57.3609,-408.73,32.8357,12.1927
37.5298,20.3833,-11.839,854.8714,7212.9899,-11.6257,7.4909,38.0484,-1722.8457,-864.4577,33.2659,11.972
29.7847,41.9148,-4.1261,758.4895,8153.0919,3.4709,4.8699,28.7389,-260.3503,280.15,28.3894,13.0793
52.9091,9.3564,0.7187,1080.0357,8062.734,-15.9699,9.497,41.6517,16.2459,-269.9815,36.9159,12.6045
42.4377,-0.0804,-1.6691,860.1257,6577.1325,-2.0556,7.346,45.3099,-878.7775,-262.855,33.6224,14.3611
65.0939,34.4857,1.0967,1085.4144,8301.2107,3.9623,8.6703,54.6814,122.8417,396.0044,36.6289,13.6148
31.9875,12.3346,-1.043,581.528,6776.907,-16.0103,6.6412,28.348,-647.6766,-387.3208,24.3474,9.9387
42.7042,61.3075,-2.6069,679.0515,7647.3605,22.1441,6.7726,35.3136,-1638.7921,-804.2106,25.0684,15.5042
40.1328,25.5505,0.1124,854.3809,6913.3995,-17.1384,6.8031,37.9478,-3.651,450.8606,34.8907,9.4723
35.4194,9.7808,-5.9359,674.8578,6174.4732,0.7994,8.2152,44.185,579.0548,203.1314,27.761,13.6135
44.0116,3.7799,-1.8945,902.1209,8282.9213,-24.5326,7.3586,19.0626,-117.3834,-139.462,29.4913,10.9768
31.9002,-22.5547,-8.4212,603.9534,6183.7915,1.6408,3.1693,25.6586,-199.5076,363.8022,27.7369,7.5598
25.2822,-52.4165,-4.5231,674.8356,6859.5584,-52.4537,4.7347,4.5089,343.7682,161.3187,27.1503,7.4758
24.2566,1.9157,-3.1347,705.8908,6904.6197,-19.009,1.6134,9.3019,-2665.7271,-1308.1451,27.1484,6.2389
48.9891,0.1595,-6.0814,1037.6863,7675.3535,0.8008,7.9085,38.479,1076.6812,837.4589,35.1132,12.9977
47.975,1.3824,1.3308,1064.4589,7071.0019,-48.3933,8.5167,32.1308,-869.8937,-769.5951,41.9377,10.0809
41.3221,-11.246,0.137,915.329,7929.9289,-17.2937,8.2884,43.8159,901.657,-27.2359,30.3969,15.6033
38.8355,17.688,-2.1792,815.3836,7966.9511,-38.1021,6.8511,26.5363,917.6845,-132.2263,27.2164,12.8011
38.8164,-26.8053,-1.9445,862.1798,8417.2175,-8.4934,8.4291,42.48,305.1163,343.9134,28.853,11.4483
14.9505,2.5664,2.1621,237.7391,3169.7796,-2.5936,3.0908,17.5937,-654.6759,-281.2721,24.8779,5.4914
22.5401,18.6761,-0.1076,816.4534,8110.7305,-20.7442,4.8115,24.4279,567.1291,334.3018,28.7657,7.1995
40.9457,5.0066,-1.7793,878.0574,7814.7795,7.0531,7.6534,46.3236,-252.3971,-240.5675,31.4023,12.2334
52.7343,-5.4787,0.5941,1111.8309,8258.5188,-29.3659,9.9259,37.3067,-286.2039,-592.9281,37.1398,10.6381
51.4783,0.5975,1.35,1034.425,7654.1918,-12.8245,9.7331,43.1107,-283.4624,-464.2131,37.1139,12.3605
40.1784,-1.0167,-1.1756,797.3415,7510.1799,-29.7472,8.685,33.2078,606.1628,114.7726,27.274,11.3336
46.8619,-5.5307,-3.1753,816.0712,6545.3827,1.3474,6.9355,39.6395,-754.6416,-101.1679,31.7211,13.45
35.8792,-62.2383,-9.1294,1109.9196,7853.1703,-32.7497,4.9811,27.7482,-1031.9689,-1495.1283,37.4443,11.7802
39.1519,12.785,-2.7591,635.3295,5809.3665,-12.6936,6.7857,35.0332,-120.0068,-189.5077,28.0889,10.9688
52.6379,-30.1791,-0.5121,741.052,6132.7205,-11.3333,6.7861,39.9847,-914.3385,-462.9971,30.7208,13.3607
54.58,13.0709,-0.0106,1053.0332,7794.8351,-7.5645,9.0977,45.1353,132.7502,-115.8251,36.9033,13.5771
39.6079,7.3194,0.4193,853.1598,6273.9405,3.0729,6.8892,20.4745,-568.8437,-665.9427,34.9371,6.4957
44.7998,-12.789,-0.9648,945.3158,6865.6607,-5.2215,10.2237,51.3824,-844.8259,-634.3788,34.7619,13.7722
31.9506,24.5404,-2.779,655.6483,5754.3065,3.078,6.5696,28.8384,220.2808,329.5432,30.1141,8.5924
31.588,-17.6847,-1.6312,517.2661,6977.9597,18.5692,5.7096,20.1864,-1206.1966,-982.6006,21.949,9.2403
39.6365,-31.8072,0.5652,1119.3557,7888.3804,5.1247,7.5808,46.9729,1083.3808,821.9259,37.7977,19.3964
45.6774,-1.6895,-0.2841,792.4777,7987.5314,14.7621,6.3105,36.0974,-1597.1088,-711.7772,27.9722,12.4236
43.2379,-22.7086,0.4338,739.883,6588.2497,-41.3545,8.8424,31.2404,234.6944,-7.6882,31.045,10.2251
48.9891,7.2588,-3.931,1037.6863,7968.1625,-14.5966,8.5383,33.9572,424.4655,360.2445,35.1132,12.1639
53.6621,10.2705,-2.326,1024.2543,7336.5652,-12.4836,9.3808,44.4358,33.846,150.1354,36.6693,12.5319
38.87,-3.8876,4.2254,764.3185,7234.1068,-21.9249,5.9163,27.0484,387.0336,142.4397,28.1876,13.5926
31.647,10.813,-0.4928,659.0203,6754.6344,-20.2166,4.1073,29.5457,-350.7618,-928.1821,26.4623,12.401
50.9941,-7.3295,-2.0681,1160.1884,7842.6668,-38.8649,10.6714,29.4173,-248.2536,-663.392,37.1502,9.4263
14.9505,2.8122,2.6697,237.7391,3157.9648,-1.7298,3.0331,18.7616,-759.717,-354.5965,24.8779,5.8064
30.0905,-11.8861,-3.8597,740.997,8173.5631,-28.8208,6.8318,34.7421,98.9608,-289.94,29.2095,10.7563
41.1182,7.9207,-4.2961,772.8527,7078.5954,14.5697,6.0294,31.9354,322.5952,-44.3015,29.4402,13.3901
51.3093,9.475,-0.1275,1162.8361,7842.6668,-56.8699,10.6089,28.6615,-107.7661,-894.1514,37.3149,9.3486
37.0979,-9.0662,-5.9825,742.0947,6520.7001,-9.5613,8.589,40.4891,762.1919,74.8645,28.4733,12.3013
41.9214,-9.9823,-4.6119,760.6561,7698.4106,-11.8549,6.6776,14.0094,3135.2154,1877.8243,27.3559,9.3556
47.9243,-2.2717,2.7919,1250.3194,8415.6273,-1.8701,7.5491,40.1972,-269.2125,-207.282,41.6348,14.0833
40.3072,-56.4115,-1.7953,824.7327,7672.9092,-55.4783,7.7653,39.1107,-134.2305,-970.5667,30.5387,13.6068
31.588,-2.6831,-2.369,517.2661,7175.5598,32.6217,5.1185,26.0185,-1352.3323,-1204.9781,21.949,8.9902
49.1622,-2.9816,7.1553,1162.8489,7983.9279,-4.5985,7.9492,44.4474,-723.9093,-384.9289,39.8191,16.1085
46.2385,5.5578,5.0915,1205.9591,7648.5989,2.4832,8.6685,42.2518,-1530.7901,-668.8608,42.299,13.9754
32.6743,-48.4361,-3.5912,645.2709,6938.2502,-23.832,5.8576,30.5607,202.8868,-735.5297,26.4374,10.0539
48.9986,-33.7305,-3.8355,854.3767,7612.7581,-49.9184,8.1846,31.194,551.8196,-239.561,32.7845,12.1637
37.4368,33.8638,-1.6276,743.6726,7557.7298,-10.3617,5.8037,35.8732,-131.6486,-619.7772,29.0345,10.3973
25.2882,-31.298,-3.2148,629.3862,7277.352,-6.7752,5.5915,27.7119,1542.3316,1319.3311,26.5373,11.5424
48.9891,5.0876,-3.4205,1037.6863,7770.5624,-17.868,9.1601,28.8102,382.3314,321.755,35.1132,12.3737
26.4286,19.188,-3.4851,753.6236,6788.5417,35.3615,6.2649,23.6072,459.2514,625.9743,28.626,9.0658
41.6328,4.2335,-3.0799,918.4256,7269.2702,36.5053,8.7015,35.6674,823.3408,601.4014,34.5062,11.1388
40.3758,-14.4732,-4.3838,649.2942,6244.7954,-7.9796,9.8529,48.7044,342.8216,-39.3818,26.3372,14.137
11.8619,29.7109,-5.4526,258.2971,3444.5142,-6.3039,0.8693,13.7682,-701.3831,-614.1096,25.3926,6.3003
65.256,-19.7304,-2.7284,1078.8021,7913.4954,3.7749,5.4976,50.8971,360.225,408.6149,36.5369,23.1492
34.5325,-11.7916,-1.655,606.731,5866.6408,-43.2952,7.9827,27.9696,268.9853,-305.5902,27.6295,8.7339
44.0546,2.6817,-2.0482,671.6896,7350.7923,15.712,6.7337,38.5805,-1343.3467,-710.4024,25.0801,12.3665
39.0073,-1.0649,-0.1654,763.0119,7970.1803,26.9019,10.4899,30.3438,169.5748,-56.9636,27.6194,9.9269
47.536,5.696,3.2608,918.4163,6155.7336,-9.2058,7.3914,38.166,-942.7358,-546.1569,52.3553,11.0745
46.4822,8.1286,-0.951,955.7678,7423.6504,-15.4883,8.2241,32.8524,-275.5272,-180.7936,35.1084,8.7619
